Run,Event,dimuon_mass_GeV,dimuon_pt_GeV,leading_muon_pt_GeV,subleading_muon_pt_GeV,Q1,Q2,Type1,Type2,opposite_sign,both_global
146428,16748390,2.61363,6.645782416816248,6.01508,1.07293,1,-1,G,T,True,False
146430,4871608,3.01719,12.35871400977549,11.9825,0.715687,1,-1,G,T,True,False
146430,5571993,3.25675,9.647191831317754,8.44892,1.69142,-1,1,G,T,True,False
146430,6127418,3.59661,12.836561610647223,12.4583,0.865104,1,-1,G,T,True,False
146430,6371947,3.55104,10.580960018716118,9.03751,2.10503,1,-1,G,T,True,False
146430,6979872,3.0727,13.060202989854332,10.3192,3.09099,-1,1,G,G,True,True
146430,7027391,3.38487,4.597470021045162,3.95019,1.73498,-1,1,G,T,True,False
146430,19593248,3.07176,9.17515659118628,5.63336,3.66331,-1,1,G,G,True,True
146430,19654037,2.85467,4.757257243279577,3.07911,2.35715,-1,1,G,T,True,False
146430,20385470,3.53264,11.899235304436013,9.45567,2.7227,-1,1,G,T,True,False
146430,20953449,2.71618,3.4687747691767186,3.42374,0.958899,-1,1,G,T,True,False
146436,12098789,3.08744,10.38200132575603,6.81307,3.89997,1,-1,G,G,True,True
146436,12281799,3.13559,21.975411018338196,11.4797,10.7164,1,-1,G,G,True,True
146436,13060635,3.10833,13.682638696663044,9.77264,3.92891,-1,1,G,G,True,True
146436,13473919,3.08351,6.852783424473664,3.97389,3.4529,1,-1,G,G,True,True
146436,20470981,2.97943,9.02761195293113,8.28345,0.959262,-1,1,G,T,True,False
146436,20503366,3.01813,10.730916990238997,7.71084,3.42438,-1,1,G,G,True,True
146436,21621354,3.25121,9.537055964169447,5.90661,3.63222,1,-1,G,G,True,True
146436,21841247,3.32045,8.131964468682153,6.96508,1.81338,-1,1,G,T,True,False
146436,25136127,2.99883,9.248971257162008,7.58795,1.99352,1,-1,G,T,True,False
146436,25934112,2.62415,10.19505094580699,7.04199,3.37577,-1,1,G,G,True,True
146436,38400186,2.84465,8.132339335453546,7.45062,1.05415,1,-1,G,T,True,False
146436,38690612,3.11347,7.0000121858486075,6.34262,1.3128,1,-1,G,T,True,False
146436,38937312,2.64158,9.534284038220436,8.97598,0.844864,-1,1,G,T,True,False
146436,39579669,2.83455,8.542202830382806,6.3052,2.41333,1,-1,G,T,True,False
146436,41718525,3.09551,12.664730853713394,9.21803,3.63184,-1,1,G,G,True,True
146436,42129883,2.91358,7.668076776086426,5.91543,2.24265,-1,1,G,T,True,False
146436,64499085,3.09489,14.097085416283752,9.25101,4.88887,-1,1,G,G,True,True
146436,66898738,3.08739,8.821380462246257,5.96028,3.07852,-1,1,G,G,True,True
146436,66943106,3.55402,5.745420598676654,5.34355,1.22761,-1,1,G,T,True,False
146436,79925151,3.32456,16.65066486570203,15.2838,1.65645,1,-1,G,T,True,False
146436,80778632,3.53905,12.350793824907935,10.4688,2.37132,1,-1,G,T,True,False
146436,81003090,3.28428,13.080833889337523,11.0917,2.26234,-1,1,G,T,True,False
146436,88699285,2.80674,3.6796206378734206,2.98201,1.39306,1,-1,G,T,True,False
146436,89133101,3.119,12.800853067987306,8.33097,4.76904,1,-1,G,G,True,True
146436,89146364,3.15151,7.876264500999189,4.73674,3.72615,-1,1,G,G,True,True
146436,89707175,3.00368,14.271913364787498,11.9903,2.48073,1,-1,G,G,True,True
146436,90459854,2.95861,7.094719946494294,6.29598,1.33794,-1,1,G,T,True,False
146436,90537855,3.06361,7.875267120356236,7.14714,1.24278,-1,1,G,T,True,False
146436,90808356,3.1318,8.653622626412362,4.51646,4.4948,1,-1,G,G,True,True
146436,92101743,2.61044,10.584306996993048,6.45778,4.27753,1,-1,G,G,True,True
146436,92530106,2.95262,8.598839837610711,6.79444,2.27345,-1,1,G,T,True,False
146436,92696696,3.15032,11.36132775031158,9.33274,2.02977,1,-1,G,G,True,True
146436,108872847,3.08762,11.041843043467926,5.77528,5.26667,1,-1,G,G,True,True
146436,109347724,2.82771,10.667978889962475,10.1279,0.875227,1,-1,G,T,True,False
146436,109599761,3.10387,14.291985449492312,9.65144,4.74944,1,-1,G,G,True,True
146436,110083244,3.11406,11.72900796317404,6.82344,5.20285,-1,1,G,G,True,True
146436,139406875,3.42004,9.77866833219043,8.33659,1.66757,1,-1,G,T,True,False
146436,139487098,3.09062,9.0094897523791,4.83627,4.56287,-1,1,G,G,True,True
146436,140393661,2.60498,9.8107194630396,6.73448,3.26653,1,-1,G,G,True,True
146436,140609764,3.1212,4.161570748227164,3.27993,1.91683,-1,1,G,G,True,True
146436,140779127,2.81631,5.238316034866534,4.97529,0.958401,-1,1,G,T,True,False
146436,141032960,3.0368,8.323242669470835,4.86683,3.98755,-1,1,G,G,True,True
146436,141165527,3.3579,5.782776316256405,4.86018,1.46735,1,-1,G,T,True,False
146436,141879104,3.41606,13.943787946288806,13.3825,0.896744,1,-1,G,T,True,False
146436,142939859,3.22383,13.371255151349441,9.56789,4.15134,-1,1,G,T,True,False
146436,143142194,3.4747,7.397502822966,5.95221,2.21173,-1,1,G,T,True,False
146436,143417130,3.09001,11.498769476479472,8.24758,3.54617,1,-1,G,G,True,True
146437,22460860,3.11674,7.334126505917388,3.99361,3.86968,1,-1,G,G,True,True
146437,23497122,3.41176,11.916893632822273,8.8459,3.26604,1,-1,G,G,True,True
146437,24106090,3.15986,7.6443043296199455,7.35229,0.912364,1,-1,G,T,True,False
146437,40340167,2.98237,13.159798577352921,11.9047,1.58009,-1,1,G,T,True,False
146437,41822370,3.07738,12.3332087558429,9.08156,3.25916,1,-1,G,G,True,True
146437,62047562,3.36155,8.650837552885905,7.40945,1.86781,-1,1,G,T,True,False
146437,62170682,3.44763,7.477798823035423,6.97032,1.25802,-1,1,G,T,True,False
146437,63129166,2.89769,4.656604967152464,3.08565,2.24458,-1,1,G,T,True,False
146437,63748169,3.11621,14.94200215688433,11.2987,3.93644,-1,1,G,T,True,False
146437,82673138,3.17787,6.5125504586471346,5.26821,1.85274,1,-1,G,T,True,False
146437,83814861,3.0852,13.278556646382919,9.81044,3.48519,-1,1,G,G,True,True
146437,92906102,3.54137,9.997292747533654,7.6813,2.73802,-1,1,G,T,True,False
146437,92982324,3.5982,12.147688539241077,11.2924,0.857631,1,-1,G,T,True,False
146437,111244074,2.7718,7.836616984222273,4.14801,4.13727,-1,1,G,G,True,True
146437,112721526,3.09467,9.97900134146198,7.07415,3.23884,1,-1,G,G,True,True
146437,143019914,3.03692,14.009133060150436,11.8514,2.4447,1,-1,G,T,True,False
146437,144465993,3.35069,10.166067016355194,8.65127,1.94019,1,-1,G,T,True,False
146437,184319413,3.11807,7.958269682317884,4.24384,4.1473,1,-1,G,G,True,True
146437,184813191,3.088,7.986441957868347,5.4224,3.12235,-1,1,G,G,True,True
146511,50639646,3.11726,7.885416562510886,4.38658,3.54517,1,-1,G,G,True,True
146511,50958480,3.05972,7.6391041187367,4.2915,3.3927,-1,1,G,G,True,True
146511,51630952,2.77661,5.71827864222591,5.3924,0.897787,-1,1,G,T,True,False
146511,51759799,3.10246,8.280820598304253,4.64718,4.16005,-1,1,G,G,True,True
146511,52252329,3.0805,10.287714807283491,7.06395,3.23521,-1,1,G,G,True,True
146511,53388882,3.05846,11.725024737466784,11.189,0.868711,1,-1,G,T,True,False
146511,54547309,3.14011,10.898324490914005,7.21418,4.05046,1,-1,G,G,True,True
146511,55279985,2.95341,10.826749031773112,8.60765,2.5649,1,-1,G,T,True,False
146511,55803970,3.47646,12.068153307511633,11.0254,1.21811,1,-1,G,T,True,False
146511,55942477,2.81123,9.336206291777673,8.10694,1.63314,-1,1,G,T,True,False
146511,56111930,3.16138,8.611114660466438,4.6082,4.00292,1,-1,G,G,True,True
146511,56254402,3.37675,14.403095541259491,13.7642,0.977656,-1,1,G,T,True,False
146511,110364128,3.16177,9.462828184876866,4.89019,4.7345,1,-1,G,G,True,True
146511,110382059,2.98184,12.018317298310983,7.11126,4.92973,1,-1,G,G,True,True
146511,111244897,3.43082,5.686523389670001,3.64129,2.80526,-1,1,G,T,True,False
